booking_id,guest_name,guest_email,room_id,check_in,check_out,nights,guests_count,amount,status
BK-2020-00001,James Bennett,james.bennett.064@icloud.com,R-106,2020-01-01,2020-01-07,6,5,26400,Completed
BK-2020-00002,Clara Patel,clara.patel.084@icloud.com,R-401,2020-01-01,2020-01-03,2,4,11600,Completed
BK-2020-00003,Nina Chua,nina.chua.086@outlook.com,R-305,2020-01-06,2020-01-09,3,2,17400,Completed
BK-2020-00004,Maya Chua,maya.chua.046.2@outlook.com,R-206,2020-01-10,2020-01-14,4,1,15300,Completed
BK-2020-00005,Daniel Tanaka,daniel.tanaka.081@outlook.com,R-402,2020-01-10,2020-01-14,4,2,24600,Completed
BK-2020-00006,Chen Singh,chen.singh.037.2@yahoo.com,R-204,2020-01-14,2020-01-16,2,1,7200,Completed
BK-2020-00007,Liam Patel,liam.patel.036.2@outlook.com,R-301,2020-01-16,2020-01-20,4,2,14400,Completed
BK-2020-00008,James Patel,james.patel.004.2@icloud.com,R-306,2020-01-17,2020-01-19,2,4,12300,Completed
BK-2020-00009,Arjun Singh,arjun.singh.053.2@proton.me,R-102,2020-01-19,2020-01-23,4,1,9600,Completed
BK-2020-00010,Liam OBrien,liam.obrien.066@outlook.com,R-202,2020-01-19,2020-01-21,2,2,4800,Completed
BK-2020-00011,Julia OBrien,julia.obrien.090@gmail.com,R-106,2020-01-20,2020-01-25,5,2,22000,Completed
BK-2020-00012,Samir Singh,samir.singh.029.2@icloud.com,R-102,2020-01-20,2020-01-21,1,2,2400,Completed
BK-2020-00013,Priya Tanaka,priya.tanaka.065@gmail.com,R-203,2020-01-21,2020-01-24,3,2,10800,Completed
BK-2020-00014,Kenji Garcia,kenji.garcia.011.2@outlook.com,R-201,2020-01-29,2020-01-31,2,2,4800,Completed
BK-2020-00015,Samir Singh,samir.singh.029.2@icloud.com,R-205,2020-01-30,2020-02-01,2,2,7200,Completed
BK-2020-00016,Kenji Lee,kenji.lee.071@outlook.com,R-401,2020-01-31,2020-02-04,4,1,24600,Completed
BK-2020-00017,Maya OBrien,maya.obrien.106@outlook.com,R-303,2020-01-31,2020-02-02,2,1,9300,Completed
BK-2020-00018,Maria Tanaka,maria.tanaka.001.2@outlook.com,R-201,2020-02-01,2020-02-02,1,1,2500,Completed
BK-2020-00019,Miguel Lee,miguel.lee.039.2@icloud.com,R-303,2020-02-05,2020-02-07,2,1,8800,Completed
BK-2020-00020,David OBrien,david.obrien.002.2@yahoo.com,R-403,2020-02-08,2020-02-11,3,1,14000,Completed
BK-2020-00021,Mei Chua,mei.chua.022.2@yahoo.com,R-105,2020-02-12,2020-02-14,2,2,8800,Completed
BK-2020-00022,Rafael Tanaka,rafael.tanaka.049.2@icloud.com,R-204,2020-02-12,2020-02-14,2,3,0,Cancelled
